canonical_id,source,class_folder,n_images,top_cross_source_match,top_cross_source_cosine,second_cross_source_match,second_cosine,needs_review
9,bdsl47_letters,Sign 32,60,bdsl47_digits:Sign 1,0.9566,bdsl47_digits:Sign 8,0.9531,1
9,bdsl47_letters,Sign 34,60,bdsl47_digits:Sign 6,0.9202,bdsl47_digits:Sign 1,0.9083,1
9,bdsl47_letters,Sign 35,60,bdsl47_digits:Sign 1,0.9459,bdsl47_digits:Sign 6,0.9157,1
9,bdsl47_letters,Sign 36,60,bdsl47_digits:Sign 1,0.9580,bdsl47_digits:Sign 6,0.9338,1
9,bdsl47_letters,Sign 4,60,bdsl47_digits:Sign 1,0.9363,bdsl47_digits:Sign 6,0.9080,1
9,bdsl47_letters,Sign 5,60,bdsl47_digits:Sign 1,0.9179,bdsl47_digits:Sign 0,0.8814,1
9,bdsl47_letters,Sign 6,60,bdsl47_digits:Sign 1,0.9576,bdsl47_digits:Sign 0,0.9509,1
9,bdsl47_letters,Sign 7,60,bdsl47_digits:Sign 0,0.8957,bdsl47_digits:Sign 1,0.8953,1
9,bdsl47_letters,Sign 8,60,bdsl47_digits:Sign 0,0.9299,bdsl47_digits:Sign 1,0.9297,1
9,bdsl47_letters,Sign 9,60,bdsl47_digits:Sign 0,0.9128,bdsl47_digits:Sign 1,0.9062,1
10,bdsl47_letters,Sign 19,60,bdsl47_digits:Sign 1,0.9448,bdsl47_digits:Sign 6,0.9267,1
10,bdsl47_letters,Sign 24,60,bdsl47_digits:Sign 1,0.9196,bdsl47_digits:Sign 6,0.8995,1
10,bdsl47_letters,Sign 26,60,bdsl47_digits:Sign 6,0.9594,bdsl47_digits:Sign 1,0.9392,1
10,bdsl47_letters,Sign 27,60,bdsl47_digits:Sign 6,0.9504,bdsl47_digits:Sign 9,0.9262,1
10,bdsl47_letters,Sign 33,60,bdsl47_digits:Sign 1,0.9392,bdsl47_digits:Sign 6,0.9259,1
11,bdsl47_letters,Sign 28,60,bdsl47_digits:Sign 2,0.9363,bdsl47_digits:Sign 0,0.9280,1
11,bdsl47_letters,Sign 29,60,bdsl47_digits:Sign 0,0.9468,bdsl47_digits:Sign 3,0.9339,1
12,bsld_45,0,60,bdsl_mnist:9,0.6187,bdsl_mnist:22,0.6175,1
13,bsld_45,1,60,bdsl_mnist:9,0.5735,bdsl_mnist:22,0.5711,1
14,bsld_45,2,60,bdsl_mnist:17,0.6291,bdsl_mnist:9,0.6245,1
14,bsld_45,3,60,bdsl_mnist:17,0.6648,bdsl_mnist:24,0.6504,1
14,bsld_45,4,60,bdsl_mnist:1,0.6091,bdsl_mnist:17,0.5934,1
14,bsld_45,5,60,bdsl_mnist:1,0.6727,bdsl_mnist:17,0.6608,1
14,bsld_45,8,60,bdsl_mnist:22,0.6350,bdsl_mnist:17,0.6347,1
15,bsld_45,6,60,bdsl_mnist:23,0.6348,bdsl_mnist:17,0.6346,1
16,bsld_45,7,60,bdsl_mnist:22,0.6897,bdsl_mnist:9,0.6821,1
17,bsld_45,9,60,bdsl_mnist:23,0.6106,bdsl_mnist:19,0.6087,1
18,bsld_45,a,60,bdsl47_digits:Sign 5,0.5619,bdsl49_recognition:5,0.5584,1
18,bsld_45,i,60,bdsl_mnist:16,0.5867,bdsl_mnist:17,0.5816,1
18,bsld_45,oo,60,bdsl_mnist:17,0.5240,bdsl_mnist:16,0.5160,1
18,bsld_45,u,60,bdsl_mnist:16,0.5568,bdsl_mnist:17,0.5358,1
19,bsld_45,b,60,bdsl49_recognition:31,0.5611,bdsl49_recognition:29,0.5519,1
19,bsld_45,h,60,bdsl_mnist:17,0.5535,bdsl_mnist:9,0.5492,1
19,bsld_45,m,60,bdsl49_recognition:31,0.5542,bdsl_mnist:1,0.5522,1
19,bsld_45,n,60,bdsl49_recognition:31,0.5405,bdsl49_recognition:29,0.5335,1
19,bsld_45,o,60,bdsl49_recognition:31,0.5982,bdsl49_recognition:29,0.5927,1
19,bsld_45,r,60,bdsl49_recognition:31,0.4873,bdsl_mnist:9,0.4819,1
20,bsld_45,bisrg,60,bdsl47_letters:Sign 7,0.5644,bdsl47_letters:Sign 8,0.5583,1
21,bsld_45,c,60,bdsl_mnist:9,0.5385,bdsl_mnist:22,0.5168,1
21,bsld_45,ch,60,bdsl_mnist:9,0.5360,bdsl_mnist:22,0.5144,1
21,bsld_45,gh,60,bdsl_mnist:9,0.5631,bdsl47_letters:Sign 9,0.5487,1
21,bsld_45,jh,60,bdsl_mnist:17,0.5801,bdsl_mnist:9,0.5769,1
21,bsld_45,k,60,bdsl_mnist:9,0.5593,bdsl_mnist:18,0.5402,1
21,bsld_45,tho,60,bdsl_mnist:9,0.5529,bdsl_mnist:22,0.5514,1
22,bsld_45,d,60,bdsl_mnist:9,0.5468,bdsl_mnist:22,0.5189,1
22,bsld_45,th,60,bdsl_mnist:9,0.5123,bdsl_mnist:5,0.4812,1
23,bsld_45,dh,60,bdsl_mnist:9,0.5453,bdsl_mnist:22,0.5271,1
23,bsld_45,p,60,bdsl_mnist:9,0.5000,bdsl_mnist:18,0.4685,1
23,bsld_45,to,60,bdsl_mnist:9,0.4915,bdsl_mnist:17,0.4721,1
24,bsld_45,dho,60,bdsl_mnist:9,0.4828,bdsl49_recognition:13,0.4746,1
25,bsld_45,do,60,bdsl_mnist:9,0.4419,bdsl_mnist:34,0.4255,1
25,bsld_45,t,60,bdsl_mnist:9,0.4712,bdsl_mnist:22,0.4501,1
25,bsld_45,y,60,bdsl_mnist:9,0.4768,bdsl_mnist:22,0.4693,1
